Lat, Lon, days_out, MaxT, MinT 
38.576698 -92.173523 0 18.71 6.97
38.576698 -92.173523 1 21.03 8.7
38.576698 -92.173523 2 20.67 9.72
38.576698 -92.173523 3 19.01 7.23
38.576698 -92.173523 4 22.08 9.07
38.576698 -92.173523 5 21.68 9.53
38.576698 -92.173523 6 22.33 10.22
38.576698 -92.173523 7 16.18 12.14
34.154179 -117.344208 0 17.37 6.16
34.154179 -117.344208 1 19.66 7.48
34.154179 -117.344208 2 21.24 6.27
34.154179 -117.344208 3 21.71 5.5
34.154179 -117.344208 4 18.34 8.88
34.154179 -117.344208 5 20.78 4.73
34.154179 -117.344208 6 20.78 4.73
34.154179 -117.344208 7 22.96 7.06
35.336761 -106.592957 0 26.92 23
35.336761 -106.592957 1 24.55 17.8
35.336761 -106.592957 2 22.5 6.46
35.336761 -106.592957 3 21.86 5.2
35.336761 -106.592957 4 20.35 8.53
35.336761 -106.592957 5 20.38 6.68
35.336761 -106.592957 6 18.68 7.37
35.336761 -106.592957 7 17.28 3.71
40.86871 -73.001488 0 17.19 11.2
40.86871 -73.001488 1 15.97 6.04
40.86871 -73.001488 2 13.21 3.52
40.86871 -73.001488 3 13.55 4.68
40.86871 -73.001488 4 15.35 3.96
40.86871 -73.001488 5 10.18 6.08
40.86871 -73.001488 6 10.18 6.08
40.86871 -73.001488 7 10.18 6.08
38.655579 -92.779922 0 19.17 8.01
38.655579 -92.779922 1 22.06 9.74
38.655579 -92.779922 2 20.03 7.39
38.655579 -92.779922 3 19.66 6.75
38.655579 -92.779922 4 21.64 12.42
38.655579 -92.779922 5 22.27 12.36
38.655579 -92.779922 6 19.68 7.13
38.655579 -92.779922 7 16.08 11.81
40.317329 -74.619881 0 19.79 12.35
40.317329 -74.619881 1 23.54 7.7
40.317329 -74.619881 2 20.26 3.46
40.317329 -74.619881 3 20.16 3.23
40.317329 -74.619881 4 22.68 1.96
40.317329 -74.619881 5 24.07 13.17
40.317329 -74.619881 6 14.88 5.48
40.317329 -74.619881 7 16.38 7.84
45.210121 -123.198723 0 13.28 9.74
45.210121 -123.198723 1 13.43 8.86
45.210121 -123.198723 2 10.13 7.42
45.210121 -123.198723 3 11.01 6.27
45.210121 -123.198723 4 8.85 6.12
45.210121 -123.198723 5 15.41 5.73
45.210121 -123.198723 6 9.38 6.97
45.210121 -123.198723 7 9.06 4.34
39.030392 -77.072479 0 20.01 10.2
39.030392 -77.072479 1 25.71 13.69
39.030392 -77.072479 2 23.89 10.63
39.030392 -77.072479 3 22.36 9.15
39.030392 -77.072479 4 21.2 11.18
39.030392 -77.072479 5 24.07 13.11
39.030392 -77.072479 6 17.83 10.06
39.030392 -77.072479 7 16.88 7.19
26.934219 -80.094208 0 27.09 26.78
26.934219 -80.094208 1 25.38 24.27
26.934219 -80.094208 2 24.73 23.56
26.934219 -80.094208 3 24.73 23.2
26.934219 -80.094208 4 25.1 22.53
26.934219 -80.094208 5 25.97 23.26
26.934219 -80.094208 6 23.43 21.11
26.934219 -80.094208 7 25.43 22.36
26.058701 -80.337273 0 27.34 26.63
26.058701 -80.337273 1 26.44 26.22
26.058701 -80.337273 2 25.67 24.67
26.058701 -80.337273 3 24.98 24.2
26.058701 -80.337273 4 25.76 23.21
26.058701 -80.337273 5 24.58 21.78
26.058701 -80.337273 6 26.38 23.77
26.058701 -80.337273 7 24.58 21.78
34.67794 -76.950783 0 27.17 21.33
34.67794 -76.950783 1 25.03 13.06
34.67794 -76.950783 2 23.32 11.18
34.67794 -76.950783 3 22.46 9.8
34.67794 -76.950783 4 24.45 14.23
34.67794 -76.950783 5 17.68 10.46
34.67794 -76.950783 6 25.18 17.71
34.67794 -76.950783 7 26.33 15.99
29.578011 -98.689751 0 28.11 17.12
29.578011 -98.689751 1 28.43 16.56
29.578011 -98.689751 2 26.62 13.17
29.578011 -98.689751 3 25.46 12.98
29.578011 -98.689751 4 28.94 18.58
29.578011 -98.689751 5 28.97 16.41
29.578011 -98.689751 6 30.43 16.02
29.578011 -98.689751 7 25.68 14.96
36.727779 -110.254578 0 25.71 18.88
36.727779 -110.254578 1 25.66 8.04
36.727779 -110.254578 2 26.19 8.87
36.727779 -110.254578 3 25.71 9.65
36.727779 -110.254578 4 24.6 7.98
36.727779 -110.254578 5 23.03 10.33
36.727779 -110.254578 6 15.63 7.01
36.727779 -110.254578 7 19.11 3.31
39.70499 -104.933594 0 26.03 14.45
39.70499 -104.933594 1 24.61 6.29
39.70499 -104.933594 2 22.97 4.5
39.70499 -104.933594 3 22.61 3.8
39.70499 -104.933594 4 19.3 3.18
39.70499 -104.933594 5 19.97 8.46
39.70499 -104.933594 6 19.28 7.01
39.70499 -104.933594 7 19.03 1.73
46.4953 -84.345322 0 3 -1.76
46.4953 -84.345322 1 7.35 -0.15
46.4953 -84.345322 2 6.93 -0.33
46.4953 -84.345322 3 4.8 -0.32
46.4953 -84.345322 4 5.73 0.66
46.4953 -84.345322 5 5.17 2.11
46.4953 -84.345322 6 5.58 0.07
46.4953 -84.345322 7 5.76 -0.49
38.767342 -77.728333 0 19.58 10.39
38.767342 -77.728333 1 25.64 11.34
38.767342 -77.728333 2 23.73 10.4
38.767342 -77.728333 3 23.25 9.6
38.767342 -77.728333 4 21.7 10.23
38.767342 -77.728333 5 23.42 11.66
38.767342 -77.728333 6 18.48 11.76
38.767342 -77.728333 7 17.93 8.59
43.820641 -69.814774 0 15.39 8.67
43.820641 -69.814774 1 13.3 1.22
43.820641 -69.814774 2 13.89 1.99
43.820641 -69.814774 3 13.8 1.83
43.820641 -69.814774 4 12.45 4.72
43.820641 -69.814774 5 12.87 9.67
43.820641 -69.814774 6 11.23 5.13
43.820641 -69.814774 7 5.48 -1.61
42.93364 -85.341957 0 7.48 -0.01
42.93364 -85.341957 1 11.32 2.84
42.93364 -85.341957 2 11.89 2.73
42.93364 -85.341957 3 11.15 2.73
42.93364 -85.341957 4 16.05 5.21
42.93364 -85.341957 5 10.56 4.88
42.93364 -85.341957 6 10.56 4.88
42.93364 -85.341957 7 10.56 4.88
40.88839 -80.693962 0 10.2 2.26
40.88839 -80.693962 1 15.26 6.19
40.88839 -80.693962 2 14.71 5.5
40.88839 -80.693962 3 14.1 5.38
40.88839 -80.693962 4 16.93 9.06
40.88839 -80.693962 5 12.93 2.28
40.88839 -80.693962 6 16.58 5.32
40.88839 -80.693962 7 11.53 2.49
26.18787 -81.695091 0 25.24 15.99
26.18787 -81.695091 1 26.95 15.5
26.18787 -81.695091 2 30.55 19.11
26.18787 -81.695091 3 29 19.1
26.18787 -81.695091 4 24.4 22.08
26.18787 -81.695091 5 23.82 22.41
26.18787 -81.695091 6 24.36 19.88
26.18787 -81.695091 7 25.78 22.81
43.436749 -71.172287 0 22.34 18.31
43.436749 -71.172287 1 20.02 11.88
43.436749 -71.172287 2 15.5 7.83
43.436749 -71.172287 3 14.7 5.33
43.436749 -71.172287 4 15.2 4.56
43.436749 -71.172287 5 17.27 10.86
43.436749 -71.172287 6 11.58 5.63
43.436749 -71.172287 7 11.58 5.63
42.55843 -71.268951 0 24.25 19.92
42.55843 -71.268951 1 20.02 11.88
42.55843 -71.268951 2 15.16 7.28
42.55843 -71.268951 3 14.7 5.33
42.55843 -71.268951 4 15.2 4.56
42.55843 -71.268951 5 17.27 10.86
42.55843 -71.268951 6 11.58 5.63
42.55843 -71.268951 7 11.58 5.63
40.83176 -75.882423 0 15.79 8.84
40.83176 -75.882423 1 20.7 7.97
40.83176 -75.882423 2 16.31 8.03
40.83176 -75.882423 3 15.7 8.03
40.83176 -75.882423 4 19.7 9.87
40.83176 -75.882423 5 16.77 11.47
40.83176 -75.882423 6 15.28 6.66
40.83176 -75.882423 7 12.33 3.28
45.244282 -123.11483 0 10.65 7.57
45.244282 -123.11483 1 13.43 8.86
45.244282 -123.11483 2 9.63 7.42
45.244282 -123.11483 3 11.01 6.27
45.244282 -123.11483 4 9.93 4.95
45.244282 -123.11483 5 9.32 3.01
45.244282 -123.11483 6 15.41 5.73
45.244282 -123.11483 7 9.06 4.34
40.740929 -73.662628 0 20.34 16.19
40.740929 -73.662628 1 19.05 7.46
40.740929 -73.662628 2 17.55 5.58
40.740929 -73.662628 3 17.55 5.58
40.740929 -73.662628 4 17.7 9.37
40.740929 -73.662628 5 13.33 5.63
40.740929 -73.662628 6 15.38 7.92
40.740929 -73.662628 7 14.58 5.64
31.10302 -93.179131 0 26.16 21.33
31.10302 -93.179131 1 25.42 18.4
31.10302 -93.179131 2 21.58 17.34
31.10302 -93.179131 3 22.81 17.2
31.10302 -93.179131 4 25.24 15.43
31.10302 -93.179131 5 25.58 14.28
31.10302 -93.179131 6 27.68 20.62
31.10302 -93.179131 7 26.18 19.01
39.084 -77.152763 0 25.09 14.48
39.084 -77.152763 1 25.71 13.69
39.084 -77.152763 2 24.08 10.98
39.084 -77.152763 3 22.36 9.15
39.084 -77.152763 4 23.58 9.57
39.084 -77.152763 5 24.07 13.11
39.084 -77.152763 6 17.83 10.06
